model,micro_mean,micro_std,macro_mean,macro_std,thr_mean,n_folds
trimodal,0.785601484871547,0.025164985483964075,0.684202278354008,0.034828197059349524,0.492,5
text_only,0.7143369398700449,0.024212889824141243,0.4972397238794655,0.018065318779116067,0.49399999999999994,5
text_audio,0.7105897552481689,0.013826332318953612,0.5623275893149512,0.026704610634345923,0.522,5
image_audio,0.6995653021587804,0.03812121768052912,0.5794607142100718,0.04534116728308247,0.7140000000000001,5
text_image,0.6949994053221739,0.047552696936521706,0.5443973444411627,0.03711649592379098,0.828,5
image_only,0.6464040409264004,0.05063013976240554,0.4888141278617276,0.06941394678929554,0.86,5
audio_only,0.5141881440549237,0.02439984360668845,0.3053317910730355,0.03259524119896243,0.6020000000000001,5
