model,micro_f1,micro_ci_low,micro_ci_high,macro_f1,macro_ci_low,macro_ci_high,threshold
tri-modal,0.7822445561139029,0.7513533183810985,0.8124837995890628,0.6786001478078423,0.6314619777064235,0.717217307119921,0.5
text-only,0.7085360459973463,0.6800943388854258,0.7425082171794141,0.49290843043577187,0.4453267338162067,0.5353340093602942,0.51
text+audio,0.7082334132693845,0.6784976157380376,0.7404325446978444,0.5775585878276142,0.5326576995445341,0.6146630102617985,0.5
image+audio,0.6914212548015365,0.6517750467809259,0.7278433226275528,0.5655936642080432,0.5207229072009967,0.6032816604256078,0.77
text+image,0.6768160069595476,0.6358908824427021,0.716263111506859,0.5443444093254962,0.496638887854413,0.5858021089023154,0.8
image-only,0.6277989015631601,0.5856049926779531,0.6658367623919238,0.4993801759828717,0.456987411599969,0.537857067177532,0.79
audio-only,0.5003728560775541,0.4661396468012244,0.5355443758268545,0.3229979795573962,0.2879070254555962,0.3514615651248818,0.5800000000000001
